127.0.0.1, 2014-10-15 10:35:15, GET, /, HTTP/1.1, 303, 0.002226
127.0.0.1, 2014-10-15 10:35:15, GET, /welcome/default/index, HTTP/1.1, 200, 0.166358
127.0.0.1, 2014-10-15 10:35:17, GET, /admin/default/index, HTTP/1.1, 200, 0.081609
127.0.0.1, 2014-10-15 10:35:17, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000422
127.0.0.1, 2014-10-15 10:35:17, GET, /admin/static/images/questions.png, HTTP/1.1, 200, 0.000619
127.0.0.1, 2014-10-15 10:35:21, POST, /admin/default/index, HTTP/1.1, 303, 0.026682
127.0.0.1, 2014-10-15 10:35:21, GET, /admin/default/site, HTTP/1.1, 200, 0.053143
127.0.0.1, 2014-10-15 10:35:21, GET, /admin/static/_2.9.11/js/jquery.js, HTTP/1.1, 200, 0.001066
127.0.0.1, 2014-10-15 10:35:21, GET, /admin/static/_2.9.11/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.002417
127.0.0.1, 2014-10-15 10:35:21, GET, /admin/static/_2.9.11/css/calendar.css, HTTP/1.1, 200, 0.001562
127.0.0.1, 2014-10-15 10:35:21, GET, /admin/static/_2.9.11/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.001097
127.0.0.1, 2014-10-15 10:35:21, GET, /admin/static/_2.9.11/js/calendar.js, HTTP/1.1, 200, 0.001984
127.0.0.1, 2014-10-15 10:35:21, GET, /admin/static/_2.9.11/js/web2py.js, HTTP/1.1, 200, 0.002024
127.0.0.1, 2014-10-15 10:35:21, GET, /admin/static/_2.9.11/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.003006
127.0.0.1, 2014-10-15 10:35:21, GET, /admin/static/_2.9.11/css/bootstrap.min.css, HTTP/1.1, 200, 0.002794
127.0.0.1, 2014-10-15 10:35:21, GET, /admin/static/_2.9.11/plugin_multiselect/start.js, HTTP/1.1, 200, 0.001896
127.0.0.1, 2014-10-15 10:35:21, GET, /admin/static/_2.9.11/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.002712
127.0.0.1, 2014-10-15 10:35:21, GET, /admin/static/_2.9.11/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.001798
127.0.0.1, 2014-10-15 10:35:21, GET, /admin/static/_2.9.11/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.002355
127.0.0.1, 2014-10-15 10:35:21, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001493
127.0.0.1, 2014-10-15 10:35:22, GET, /admin/static/images/questions.png, HTTP/1.1, 304, 0.001072
127.0.0.1, 2014-10-15 10:35:22, POST, /admin/default/check_version, HTTP/1.1, 200, 0.261487
